2013-10-12 14:08:21.792 Connect db
2013-10-12 14:08:21.840 Greening_Up_2 - treat date 01-Jan-2012
2013-10-12 14:08:32.412 Green up Outcome BOTH | GB/Hunt 4th Jan                                    | TO BE PLACED                                       | 1 |  16 |  20 |  18 |  50 |  56 |  3
2013-10-12 14:08:32.432 Green up Outcome BOTH | GB/Hunt 4th Jan                                    | TO BE PLACED                                       | 1 |  17 |  18 |  16 |  50 |  56 |  4
2013-10-12 14:08:32.444 Green up Outcome BOTH | GB/Hunt 4th Jan                                    | TO BE PLACED                                       | 1 |  9 |  11 |  10 |  50 |  57 |  4
2013-10-12 14:08:32.452 Green up Outcome BACK_BAD | GB/Hunt 4th Jan                                    | TO BE PLACED                                       | 1 |  21 |  11 |  0 |  50 |  0 | -50
2013-10-12 14:08:32.456 Green up Outcome BOTH | GB/Hunt 4th Jan                                    | TO BE PLACED                                       | 1 |  5 |  13 |  5 |  50 |  133 |  76
2013-10-12 14:08:32.468 Green up Outcome BOTH | GB/Hunt 4th Jan                                    | TO BE PLACED                                       | 1 |  11 |  16 |  12 |  50 |  67 |  14
2013-10-12 14:08:32.476 Green up Outcome BOTH | GB/Hunt 4th Jan                                    | TO BE PLACED                                       | 1 |  8 |  13 |  12 |  50 |  54 |  1
2013-10-12 14:08:32.500 Green up Outcome BOTH | GB/Hunt 4th Jan                                    | TO BE PLACED                                       | 1 |  4 |  18 |  12 |  50 |  73 |  19
2013-10-12 14:08:32.528 Green up Outcome BOTH | GB/Hunt 4th Jan                                    | TO BE PLACED                                       | 1 |  8 |  16 |  13 |  50 |  60 |  7
2013-10-12 14:08:32.576 Green up Outcome BOTH | GB/Hunt 4th Jan                                    | TO BE PLACED                                       | 1 |  8 |  12 |  8 |  50 |  71 |  18
2013-10-12 14:08:32.592 Green up Outcome BOTH | GB/Hunt 4th Jan                                    | TO BE PLACED                                       | 1 |  12 |  15 |  14 |  50 |  54 |  1
2013-10-12 14:08:32.668 Green up Outcome BOTH | GB/Wolv 5th Jan                                    | TO BE PLACED                                       | 1 |  4 |  14 |  13 |  50 |  56 |  3
2013-10-12 14:08:32.688 Green up Outcome BOTH | GB/Sthl 4th Jan                                    | TO BE PLACED                                       | 1 |  21 |  18 |  16 |  50 |  56 |  3
2013-10-12 14:08:32.692 Green up Outcome BOTH | GB/Sthl 4th Jan                                    | TO BE PLACED                                       | 1 |  7 |  11 |  7 |  50 |  76 |  23
2013-10-12 14:08:32.716 Green up Outcome BACK_BAD | GB/Sthl 4th Jan                                    | TO BE PLACED                                       | 1 |  11 |  11 |  0 |  50 |  0 | -50
2013-10-12 14:08:32.724 Green up Outcome BOTH | GB/Sthl 4th Jan                                    | TO BE PLACED                                       | 1 |  10 |  13 |  11 |  50 |  63 |  10
2013-10-12 14:08:32.736 Green up Outcome BOTH | GB/Sthl 4th Jan                                    | TO BE PLACED                                       | 1 |  14 |  13 |  10 |  50 |  62 |  9
2013-10-12 14:08:32.780 Green up Outcome BOTH | GB/Sthl 4th Jan                                    | TO BE PLACED                                       | 1 |  11 |  16 |  11 |  50 |  75 |  21
2013-10-12 14:08:32.792 Green up Outcome BOTH | GB/Sthl 4th Jan                                    | TO BE PLACED                                       | 1 |  8 |  16 |  14 |  50 |  55 |  3
2013-10-12 14:08:32.872 Green up Outcome BOTH | GB/Sthl 4th Jan                                    | TO BE PLACED                                       | 1 |  6 |  12 |  10 |  50 |  60 |  7
2013-10-12 14:08:32.912 Green up Outcome BOTH | GB/Sthl 4th Jan                                    | TO BE PLACED                                       | 1 |  8 |  14 |  12 |  50 |  59 |  6
2013-10-12 14:08:33.480 Green up Outcome BACK_OK | GB/Sedge 5th Jan                                   | TO BE PLACED                                       | 1 |  11 |  12 |  0 |  50 |  0 |  496
2013-10-12 14:08:33.484 Green up Outcome BACK_BAD | GB/Sedge 5th Jan                                   | TO BE PLACED                                       | 1 |  21 |  16 |  0 |  50 |  0 | -50
2013-10-12 14:08:33.620 Green up Outcome BOTH | GB/Ludl 5th Jan                                    | TO BE PLACED                                       | 1 |  15 |  20 |  17 |  50 |  59 |  6
2013-10-12 14:08:33.636 Green up Outcome BACK_BAD | GB/Ludl 5th Jan                                    | TO BE PLACED                                       | 1 |  18 |  18 |  0 |  50 |  0 | -50
2013-10-12 14:08:33.656 Green up Outcome BOTH | GB/Ludl 5th Jan                                    | TO BE PLACED                                       | 1 |  2 |  12 |  2 |  50 |  264 |  201
2013-10-12 14:08:33.664 Green up Outcome BOTH | GB/Ludl 5th Jan                                    | TO BE PLACED                                       | 1 |  7 |  18 |  10 |  50 |  94 |  39
2013-10-12 14:08:33.672 Green up Outcome BOTH | GB/Ling 5th Jan                                    | TO BE PLACED                                       | 1 |  4 |  20 |  15 |  50 |  69 |  16
2013-10-12 14:08:33.676 Green up Outcome BOTH | GB/Ling 5th Jan                                    | TO BE PLACED                                       | 1 |  6 |  18 |  12 |  50 |  78 |  24
2013-10-12 14:08:33.740 Greening_Up_2 - treat date 05-Jan-2012
2013-10-12 14:08:34.188 Green up Outcome BOTH | GB/Wolv 5th Jan                                    | TO BE PLACED                                       | 1 |  4 |  15 |  9 |  50 |  82 |  27
