GB/Sedge 11th Jan | TO BE PLACED | 107915078 | Painted Tail |  14 |  5 |  100 |  270 |  157
GB/Sedge 11th Jan | TO BE PLACED | 107915078 | College Green |  15 |  0 |  100 |  0 | -100
GB/Sedge 11th Jan | TO BE PLACED | 107915078 | Emperor Of Rome |  14 |  7 |  100 |  206 |  96
GB/Sedge 11th Jan | TO BE PLACED | 107915078 | Greatown |  20 |  0 |  100 |  0 | -100
GB/Sedge 11th Jan | TO BE PLACED | 107915078 | Phoenix Returns |  19 |  6 |  100 |  308 |  116
GB/Sedge 11th Jan | TO BE PLACED | 107915078 | Grammar |  15 |  0 |  100 |  0 | -100
GB/Sedge 11th Jan | TO BE PLACED | 107915078 | Taxi Des Obeaux |  18 |  2 |  100 |  875 |  731
GB/Sedge 11th Jan | TO BE PLACED | 107915080 | Badgers Retreat |  13 |  0 |  100 |  0 | -100
GB/Sedge 11th Jan | TO BE PLACED | 107915082 | Oniz Tiptoes |  14 |  3 |  100 |  450 |  283
GB/Sedge 11th Jan | TO BE PLACED | 107915086 | Uimhir A Seacht |  13 |  1 |  100 |  1096 |  942
GB/Kemp 12th Jan | TO BE PLACED | 107917349 | Shamrocked |  13 |  0 |  100 |  0 | -100
GB/Kemp 12th Jan | TO BE PLACED | 107917349 | Watt Broderick |  20 |  8 |  100 |  250 |  138
GB/Kemp 12th Jan | TO BE PLACED | 107917349 | Deia Sunrise |  15 |  1 |  100 |  1229 |  1067
GB/Kemp 12th Jan | TO BE PLACED | 107917353 | Dunloughin |  14 |  0 |  100 |  0 |  1230
GB/Kemp 12th Jan | TO BE PLACED | 107917353 | Hold On Julio |  17 |  1 |  100 |  1122 |  940
GB/Kemp 12th Jan | TO BE PLACED | 107917357 | Sircozy |  12 |  6 |  100 |  192 |  82
GB/Kemp 12th Jan | TO BE PLACED | 107917357 | Oscar Prairie |  12 |  5 |  100 |  230 |  119
GB/Kemp 12th Jan | TO BE PLACED | 107917357 | Romeo Americo |  12 |  0 |  100 |  0 |  1040
GB/Kemp 12th Jan | TO BE PLACED | 107917357 | Loose Chips |  14 |  4 |  100 |  338 |  221
GB/Ling 12th Jan | TO BE PLACED | 107923746 | Activate |  13 |  2 |  100 |  762 |  624
GB/Ling 12th Jan | TO BE PLACED | 107923748 | Emerging |  17 |  1 |  100 |  1398 |  1216
GB/Ling 12th Jan | TO BE PLACED | 107923750 | Irish Dream |  20 |  2 |  100 |  1000 |  850
GB/Ling 12th Jan | TO BE PLACED | 107923750 | Hester Street |  13 |  0 |  100 |  0 | -100
GB/Ling 12th Jan | TO BE PLACED | 107923752 | Victorian Bounty |  13 |  5 |  100 |  250 |  138
GB/Weth 12th Jan | TO BE PLACED | 107923778 | Many Clouds |  11 |  1 |  100 |  856 |  699
GB/Weth 12th Jan | TO BE PLACED | 107923778 | Ardkilly Witness |  12 |  3 |  100 |  383 |  226
GB/Weth 12th Jan | TO BE PLACED | 107923778 | Ballymartin King |  20 |  0 |  100 |  0 | -100
GB/Weth 12th Jan | TO BE PLACED | 107923778 | Up And Go |  12 |  1 |  100 |  860 |  701
GB/Weth 12th Jan | TO BE PLACED | 107923778 | Henry Jenkins |  17 |  0 |  100 |  0 | -100
GB/Weth 12th Jan | TO BE PLACED | 107923778 | Bellaney Express |  16 |  13 |  100 |  119 |  13
GB/Weth 12th Jan | TO BE PLACED | 107923778 | Katika Kapanga |  11 |  0 |  100 |  0 | -100
GB/Weth 12th Jan | TO BE PLACED | 107923780 | Bandanaman |  16 |  0 |  100 |  0 | -100
GB/Weth 12th Jan | TO BE PLACED | 107923780 | Ballybriggan |  18 |  2 |  100 |  756 |  618
GB/Weth 12th Jan | TO BE PLACED | 107923782 | Sam Lord |  14 |  7 |  100 |  189 |  80
GB/Weth 12th Jan | TO BE PLACED | 107923786 | Grafite |  12 |  4 |  100 |  288 |  173
GB/Weth 12th Jan | TO BE PLACED | 107923790 | Gulfport |  12 |  9 |  100 |  128 |  21
