2013-11-05 23:07:18.960 Connect db
2013-11-05 23:07:18.976 Greening_Up_2 - treat date 01-Jan-2012
2013-11-05 23:07:19.048 Greening_Up_2 - treat date 02-Jan-2012
2012-01-05 13:10:00.000 | BACKED_LOST | GB/Sedge 5th Jan     | 2m Nov Chs           |  104609350 |  2971580 | FALSE | 10.00 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-05 13:30:00.000 | BACKED_LOST | GB/Ludl 5th Jan      | 2m4f Hcap Chs        |  104609388 |  2061277 | FALSE | 14.50 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-05 13:30:00.000 | BACKED_LOST | GB/Ludl 5th Jan      | 2m4f Hcap Chs        |  104609388 |  2890477 | FALSE | 12.00 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-05 13:30:00.000 | BACKED_WON | GB/Ludl 5th Jan      | 2m4f Hcap Chs        |  104609388 |  3813824 | TRUE | 10.50 | 0.00 | 50.00 | 0.00 | 475.00
2012-01-05 13:40:00.000 | BACKED_LOST | GB/Sedge 5th Jan     | 3m3f Hcap Hrd        |  104609352 |  1090344 | FALSE | 11.00 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-05 13:40:00.000 | BACKED_LOST | GB/Sedge 5th Jan     | 3m3f Hcap Hrd        |  104609352 |  4593481 | FALSE | 15.00 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-05 14:00:00.000 | BACKED_LOST | GB/Ludl 5th Jan      | 2m Hcap Hrd          |  104609390 |  2702482 | FALSE | 15.00 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-05 14:00:00.000 | BACKED_LOST | GB/Ludl 5th Jan      | 2m Hcap Hrd          |  104609390 |  3101233 | FALSE | 15.00 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-05 14:00:00.000 | BACKED_LOST | GB/Ludl 5th Jan      | 2m Hcap Hrd          |  104609390 |  4115201 | FALSE | 12.50 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-05 14:00:00.000 | BACKED_LOST | GB/Ludl 5th Jan      | 2m Hcap Hrd          |  104609390 |  4999556 | FALSE | 12.50 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-05 14:10:00.000 | BACKED_LOST | GB/Sedge 5th Jan     | 2m4f Hcap Hrd        |  104609354 |  1216670 | FALSE | 10.00 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-05 14:10:00.000 | BACKED_LOST | GB/Sedge 5th Jan     | 2m4f Hcap Hrd        |  104609354 |  3830828 | FALSE | 10.00 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-05 14:10:00.000 | BACKED_WON | GB/Sedge 5th Jan     | 2m4f Hcap Hrd        |  104609354 |  4599809 | TRUE | 10.00 | 0.00 | 50.00 | 0.00 | 450.00
2012-01-05 14:20:00.000 | BACKED_LOST | GB/Ling 5th Jan      | 2m Hcap Chs          |  104609437 |  1215576 | FALSE | 14.50 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-05 14:20:00.000 | BACKED_LOST | GB/Ling 5th Jan      | 2m Hcap Chs          |  104609437 |  2269078 | FALSE | 11.50 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-05 14:20:00.000 | BACKED_LOST | GB/Ling 5th Jan      | 2m Hcap Chs          |  104609437 |  3655957 | FALSE | 10.00 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-05 14:30:00.000 | BACKED_LOST | GB/Ludl 5th Jan      | 2m4f Nov Chs         |  104609392 |  4702176 | FALSE | 11.50 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-05 14:40:00.000 | BACKED_WON | GB/Sedge 5th Jan     | 2m1f Hcap Hrd        |  104609356 |  1539517 | TRUE | 13.50 | 0.00 | 50.00 | 0.00 | 625.00
2012-01-05 15:00:00.000 | BACKED_LOST | GB/Ludl 5th Jan      | 3m Hcap Chs          |  104609394 |  3450502 | FALSE | 11.50 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-05 15:10:00.000 | BACKED_LOST | GB/Sedge 5th Jan     | 2m Hcap Chs          |  104609358 |  81248 | FALSE | 12.00 | 0.00 | 50.00 | 0.00 | -50.00
