rl_20190409_202057671.log:2019-04-09 20:20:54.253 |datapoint|05:21.144|1.123683514|2m4f Hcap Chs                                     |
rl_20190409_202057671.log:2019-04-09 20:20:54.276 |datapoint|05:11.033|1.123703501|2m3f Hcap Hrd                                     |
rl_20190409_202057671.log:2019-04-09 20:20:54.305 |datapoint|06:09.955|1.123703537|3m Hcap Chs                                       |
rl_20190409_202057671.log:2019-04-09 20:20:54.338 |datapoint|07:01.094|1.123703572|3m1f Hcap Chs                                     |
rl_20190409_202057671.log:2019-04-09 20:20:54.366 |datapoint|05:40.254|1.123703608|2m4f Hcap Hrd                                     |
rl_20190409_202057671.log:2019-04-09 20:20:54.398 |datapoint|07:02.035|1.123703506|3m1f Hcap Hrd                                     |
rl_20190409_202057671.log:2019-04-09 20:20:54.417 |datapoint|03:51.626|1.123703542|2m Mdn NHF                                        |
rl_20190409_202057671.log:2019-04-09 20:20:54.438 |datapoint|04:16.964|1.123703577|2m INHF                                           |
rl_20190409_202057671.log:2019-04-09 20:20:54.460 |datapoint|04:28.257|1.123703613|2m Hcap Hrd                                       |
rl_20190409_202057671.log:2019-04-09 20:20:54.480 |datapoint|03:58.251|1.123683524|2m NHF                                            |
rl_20190409_202057671.log:2019-04-09 20:20:54.489 |datapoint|01:44.866|1.123703296|1m Mdn Stks                                       |
rl_20190409_202057671.log:2019-04-09 20:20:54.503 |datapoint|02:32.490|1.123703306|1m4f Hcap                                         |
rl_20190409_202057671.log:2019-04-09 20:20:54.511 |datapoint|01:23.860|1.123703311|7f Hcap                                           |
rl_20190409_202057671.log:2019-04-09 20:20:54.517 |datapoint|01:09.226|1.123703321|6f Hcap                                           |
rl_20190409_202057671.log:2019-04-09 20:20:55.809 |datapoint|05:10.233|1.123726254|2m4f Mdn Hrd                                      |
rl_20190409_202057671.log:2019-04-09 20:20:55.812 |datapoint|01:04.505|1.123705821|5f Mdn                                            |
rl_20190409_202057671.log:2019-04-09 20:20:55.829 |datapoint|04:53.269|1.123726219|2m3f Hcap Hrd                                     |
rl_20190409_202057671.log:2019-04-09 20:20:55.841 |datapoint|04:44.867|1.123726298|2m2f Mdn Hrd                                      |
rl_20190409_202057671.log:2019-04-09 20:20:55.853 |datapoint|05:36.714|1.123726259|2m6f Hcap Hrd                                     |
rl_20190409_202057671.log:2019-04-09 20:20:55.857 |datapoint|01:15.063|1.123705826|6f Mdn                                            |
rl_20190409_202057671.log:2019-04-09 20:20:55.869 |datapoint|04:01.170|1.123726224|2m Nov Chs                                        |
rl_20190409_202057671.log:2019-04-09 20:20:55.885 |datapoint|04:41.594|1.123726303|2m2f Hrd                                          |
rl_20190409_202057671.log:2019-04-09 20:20:55.901 |datapoint|05:43.341|1.123726264|2m5f Hcap Chs                                     |
rl_20190409_202057671.log:2019-04-09 20:20:55.904 |datapoint|01:15.739|1.123705831|6f Hcap                                           |
rl_20190409_202057671.log:2019-04-09 20:20:55.915 |datapoint|04:16.972|1.123726229|2m1f Nov Hrd                                      |
rl_20190409_202057671.log:2019-04-09 20:20:55.931 |datapoint|04:47.219|1.123726308|2m2f Hcap Hrd                                     |
rl_20190409_202057671.log:2019-04-09 20:20:55.944 |datapoint|05:10.786|1.123726269|2m4f Hcap Hrd                                     |
rl_20190409_202057671.log:2019-04-09 20:20:55.948 |datapoint|01:47.717|1.123705836|1m Grp3                                           |
rl_20190409_202057671.log:2019-04-09 20:20:55.965 |datapoint|06:16.018|1.123726234|3m Hcap Chs                                       |
rl_20190409_202057671.log:2019-04-09 20:20:55.985 |datapoint|07:18.492|1.123726313|3m4f Hcap Chs                                     |
rl_20190409_202057671.log:2019-04-09 20:20:56.006 |datapoint|05:13.522|1.123726274|2m4f Sell Hrd                                     |
rl_20190409_202057671.log:2019-04-09 20:20:56.013 |datapoint|01:29.560|1.123705841|7f Hcap                                           |
rl_20190409_202057671.log:2019-04-09 20:20:56.045 |datapoint|05:44.733|1.123726318|2m5f Hcap Chs                                     |
rl_20190409_202057671.log:2019-04-09 20:20:56.069 |datapoint|06:29.497|1.123726279|3m Hcap Chs                                       |
rl_20190409_202057671.log:2019-04-09 20:20:56.076 |datapoint|01:42.476|1.123705846|1m Hcap                                           |
rl_20190409_202057671.log:2019-04-09 20:20:56.102 |datapoint|06:25.670|1.123726244|3m Hunt Chs                                       |
rl_20190409_202057671.log:2019-04-09 20:20:56.123 |datapoint|05:47.424|1.123726323|2m5f Mdn Hunt Chs                                 |
rl_20190409_202057671.log:2019-04-09 20:20:56.135 |datapoint|03:53.264|1.123726284|2m NHF                                            |
rl_20190409_202057671.log:2019-04-09 20:20:56.158 |datapoint|04:16.166|1.123726328|2m2f INHF                                         |
rl_20190409_202057671.log:2019-04-09 20:20:57.308 |datapoint|04:39.327|1.123734113|2m2f Mdn Hrd                                      |
rl_20190409_202057671.log:2019-04-09 20:20:57.332 |datapoint|04:30.929|1.123734253|2m3f Nov Hrd                                      |
rl_20190409_202057671.log:2019-04-09 20:20:57.355 |datapoint|04:12.498|1.123734077|1m7f Hcap Chs                                     |
rl_20190409_202057671.log:2019-04-09 20:20:57.389 |datapoint|06:18.616|1.123734118|2m7f Nov Hcap Chs                                 |
rl_20190409_202057671.log:2019-04-09 20:20:57.410 |datapoint|03:57.128|1.123734258|2m Nov Hrd                                        |
rl_20190409_202057671.log:2019-04-09 20:20:57.439 |datapoint|05:28.531|1.123734082|2m4f Hcap Chs                                     |
rl_20190409_202057671.log:2019-04-09 20:20:57.472 |datapoint|06:00.731|1.123734123|2m6f Nov Hrd                                      |
rl_20190409_202057671.log:2019-04-09 20:20:57.493 |datapoint|04:03.145|1.123734263|2m Hcap Chs                                       |
rl_20190409_202057671.log:2019-04-09 20:20:57.521 |datapoint|05:23.910|1.123734087|2m4f Mdn Hrd                                      |
rl_20190409_202057671.log:2019-04-09 20:20:57.545 |datapoint|04:23.202|1.123734128|2m1f Hcap Chs                                     |
rl_20190409_202057671.log:2019-04-09 20:20:57.567 |datapoint|03:59.044|1.123734268|2m Hcap Hrd                                       |
rl_20190409_202057671.log:2019-04-09 20:20:57.596 |datapoint|05:23.666|1.123734092|2m4f Mdn Hrd                                      |
rl_20190409_202057671.log:2019-04-09 20:20:57.624 |datapoint|05:20.602|1.123734133|2m5f Hcap Hrd                                     |
rl_20190409_202057671.log:2019-04-09 20:20:57.624 |datapoint|00:00.000|1.123734273|2m2f Hcap Chs                                     |
rl_20190409_202057671.log:2019-04-09 20:20:57.652 |datapoint|05:20.737|1.123734097|2m4f Hcap Hrd                                     |
rl_20190409_202103740.log:2019-04-09 20:20:57.688 |datapoint|06:54.834|1.123734138|3m2f Hcap Hrd                                     |
rl_20190409_202103740.log:2019-04-09 20:20:57.710 |datapoint|04:09.575|1.123734102|1m7f Hcap Hrd                                     |
rl_20190409_202103740.log:2019-04-09 20:20:59.216 |datapoint|04:14.627|1.123746933|2m1f Nov Sell Hrd                                 |
rl_20190409_202103740.log:2019-04-09 20:20:59.246 |datapoint|05:39.041|1.123747031|2m5f Sell Hrd                                     |
rl_20190409_202103740.log:2019-04-09 20:20:59.252 |datapoint|00:57.314|1.123746973|5f Hcap                                           |
rl_20190409_202103740.log:2019-04-09 20:20:59.276 |datapoint|04:40.424|1.123746938|2m2f Hcap Hrd                                     |
rl_20190409_202103740.log:2019-04-09 20:20:59.302 |datapoint|05:03.398|1.123747036|2m3f Nov Hcap Hrd                                 |
rl_20190409_202103740.log:2019-04-09 20:20:59.312 |datapoint|01:41.433|1.123746978|1m Mdn Stks                                       |
rl_20190409_202103740.log:2019-04-09 20:20:59.336 |datapoint|04:42.235|1.123746943|2m2f Hcap Hrd                                     |
rl_20190409_202103740.log:2019-04-09 20:20:59.363 |datapoint|05:04.899|1.123747041|2m3f Nov Hcap Hrd                                 |
rl_20190409_202103740.log:2019-04-09 20:20:59.378 |datapoint|02:37.468|1.123746983|1m4f Hcap                                         |
rl_20190409_202103740.log:2019-04-09 20:20:59.404 |datapoint|04:49.389|1.123746948|2m3f Nov Chs                                      |
rl_20190409_202103740.log:2019-04-09 20:20:59.438 |datapoint|06:19.060|1.123747046|3m Nov Chs                                        |
rl_20190409_202103740.log:2019-04-09 20:20:59.444 |datapoint|00:56.537|1.123746988|5f Hcap                                           |
rl_20190409_202103740.log:2019-04-09 20:20:59.476 |datapoint|06:05.238|1.123746953|3m Hcap Chs                                       |
rl_20190409_202103740.log:2019-04-09 20:20:59.497 |datapoint|03:59.828|1.123747051|2m Hcap Hrd                                       |
rl_20190409_202103740.log:2019-04-09 20:20:59.504 |datapoint|01:13.722|1.123746993|6f Hcap                                           |
rl_20190409_202103740.log:2019-04-09 20:20:59.537 |datapoint|06:14.916|1.123746958|3m Nov Hcap Chs                                   |
rl_20190409_202103740.log:2019-04-09 20:20:59.566 |datapoint|05:35.326|1.123747056|2m5f Hcap Chs                                     |
rl_20190409_202103740.log:2019-04-09 20:20:59.575 |datapoint|01:41.263|1.123746998|1m App Hcap                                       |
rl_20190409_202103740.log:2019-04-09 20:20:59.606 |datapoint|05:59.014|1.123746963|2m7f Nov Hcap Hrd                                 |
rl_20190409_202103740.log:2019-04-09 20:20:59.627 |datapoint|04:03.011|1.123747061|2m NHF                                            |
rl_20190409_202103740.log:2019-04-09 20:21:01.308 |datapoint|03:06.904|1.123762860|1m6f Claim Stks                                   |
rl_20190409_202103740.log:2019-04-09 20:21:01.340 |datapoint|05:10.268|1.123762899|2m5f Mdn Hrd                                      |
rl_20190409_202103740.log:2019-04-09 20:21:01.366 |datapoint|04:52.073|1.123762738|2m3f Nov Hrd                                      |
rl_20190409_202103740.log:2019-04-09 20:21:01.374 |datapoint|01:25.673|1.123762865|7f Hcap                                           |
rl_20190409_202103740.log:2019-04-09 20:21:01.394 |datapoint|03:53.539|1.123762904|2m Nov Hrd                                        |
rl_20190409_202103740.log:2019-04-09 20:21:01.415 |datapoint|03:51.286|1.123762745|2m Nov Hrd                                        |
rl_20190409_202103740.log:2019-04-09 20:21:01.422 |datapoint|01:15.363|1.123762870|6f Hcap                                           |
rl_20190409_202103740.log:2019-04-09 20:21:01.454 |datapoint|06:13.593|1.123762909|3m Nov Hcap Chs                                   |
rl_20190409_202103740.log:2019-04-09 20:21:01.455 |datapoint|00:00.000|1.123762753|2m4f Hcap Chs                                     |
rl_20190409_202103740.log:2019-04-09 20:21:01.461 |datapoint|00:59.453|1.123762875|5f Hcap                                           |
rl_20190409_202103740.log:2019-04-09 20:21:01.495 |datapoint|06:40.963|1.123762914|3m2f Hcap Hrd                                     |
rl_20190409_202103740.log:2019-04-09 20:21:01.505 |datapoint|01:42.816|1.123762880|1m Hcap                                           |
rl_20190409_202103740.log:2019-04-09 20:21:01.531 |datapoint|05:16.888|1.123762919|2m5f Hcap Hrd                                     |
rl_20190409_202103740.log:2019-04-09 20:21:01.563 |datapoint|06:06.784|1.123762773|2m7f Hcap Chs                                     |
rl_20190409_202103740.log:2019-04-09 20:21:01.576 |datapoint|02:24.532|1.123762885|1m3f Hcap                                         |
rl_20190409_202103740.log:2019-04-09 20:21:01.615 |datapoint|07:39.764|1.123762924|3m5f Hcap Chs                                     |
rl_20190409_202103740.log:2019-04-09 20:21:01.641 |datapoint|04:43.419|1.123762781|2m3f Nov Hcap Hrd                                 |
rl_20190409_202103740.log:2019-04-09 20:21:01.654 |datapoint|02:24.865|1.123762890|1m3f Hcap                                         |
rl_20190409_202103740.log:2019-04-09 20:21:01.673 |datapoint|03:50.438|1.123762929|2m NHF                                            |
rl_20190409_202103740.log:2019-04-09 20:21:01.682 |datapoint|01:37.328|1.123762814|1m Hcap                                           |
rl_20190409_202103740.log:2019-04-09 20:21:01.701 |datapoint|03:36.950|1.123762940|2m Mdn                                            |
rl_20190409_202103740.log:2019-04-09 20:21:01.711 |datapoint|01:39.871|1.123762819|1m Mdn Stks                                       |
rl_20190409_202103740.log:2019-04-09 20:21:01.718 |datapoint|01:12.277|1.123762945|6f Hcap                                           |
rl_20190409_202103740.log:2019-04-09 20:21:01.732 |datapoint|02:33.565|1.123762824|1m4f Mdn Stks                                     |
rl_20190409_202103740.log:2019-04-09 20:21:01.751 |datapoint|03:31.132|1.123762829|2m Hcap                                           |
rl_20190409_202103740.log:2019-04-09 20:21:01.763 |datapoint|02:12.338|1.123762955|1m2f Hcap                                         |
rl_20190409_202103740.log:2019-04-09 20:21:01.782 |datapoint|03:24.578|1.123762834|2m Hcap                                           |
rl_20190409_202103740.log:2019-04-09 20:21:01.791 |datapoint|01:41.256|1.123762960|1m Stks                                           |
rl_20190409_202103740.log:2019-04-09 20:21:01.798 |datapoint|01:10.003|1.123762839|6f Hcap                                           |
rl_20190409_202103740.log:2019-04-09 20:21:01.807 |datapoint|01:37.298|1.123762965|1m Stks                                           |
rl_20190409_202103740.log:2019-04-09 20:21:01.815 |datapoint|01:20.804|1.123762844|7f Hcap                                           |
rl_20190409_202103740.log:2019-04-09 20:21:01.821 |datapoint|01:09.406|1.123762849|6f Hcap                                           |
rl_20190409_202103740.log:2019-04-09 20:21:03.667 |datapoint|03:58.612|1.123785501|2m Nov Hrd                                        |
rl_20190409_202103740.log:2019-04-09 20:21:03.681 |datapoint|02:34.501|1.123785320|1m4f Hcap                                         |
rl_20190409_202103740.log:2019-04-09 20:21:03.707 |datapoint|04:55.759|1.123785431|2m2f Beg Chs                                      |
rl_20190409_202103740.log:2019-04-09 20:21:03.726 |datapoint|03:43.541|1.123785466|2m Nov Hrd                                        |
rl_20190409_202103740.log:2019-04-09 20:21:03.736 |datapoint|01:58.711|1.123785325|1m1f Sell Stks                                    |
